"Sheet","Severity","Excluded","Type","Description","Details"
"/ (nixie.kicad_sch)","warning","False","pin_to_pin","Pins of type Power output and Open collector are connected","@(0.2921 mm, 0.2286 mm): Symbol #FLG01 Pin 1 [Power output, Line];@(0.5207 mm, 0.5969 mm): Symbol U2 Pin 1 [SwC, Open collector, Line]"
"/ (nixie.kicad_sch)","warning","False","pin_to_pin","Pins of type Power output and Open collector are connected","@(0.2921 mm, 0.2286 mm): Symbol #FLG01 Pin 1 [Power output, Line];@(0.5207 mm, 0.5715 mm): Symbol U2 Pin 8 [DC, Open collector, Line]"
